City,ZIP,Diesel,Electric,Flex_Fuel,Gasoline,Gasoline_Hybrid,Hydrogen,Natural_Gas,PHEV,Propane,Total_Cars,Total_EV,EV_perc,Median_Household_Income,Latino_perc,White_perc,Asian_perc,Black_perc,BachOrHigher_perc,Total_Population,Zillow_Home_Value_Index,County
Westley,95387,58,0,85,756,5,0,0,3,0,907,3,0.33,56821.0,79.2,9.3,11.5,0.0,7.0,1122.0,829839.3374800868,Stanislaus
Westminster,92683,609,1084,1584,62459,3196,52,29,749,0,69762,1885,2.7,71108.0,24.2,20.7,50.6,0.9,26.7,91267.0,898176.98,Orange
Westmorland,92281,42,0,119,1758,25,0,0,1,0,1945,1,0.05,33833.0,89.8,8.4,0.4,0.5,5.3,2548.0,829839.3374800868,Imperial
Westwood,96137,340,7,180,3033,39,0,0,5,0,3604,12,0.33,49759.0,6.2,86.7,0.0,0.0,24.8,3101.0,448851.46,Lassen
Wheatland,95692,271,9,263,3404,106,0,0,15,0,4068,24,0.59,81472.0,18.1,70.5,1.6,0.1,23.8,5044.0,433406.02,Yuba
White Water,92282,19,3,60,788,26,0,0,6,0,902,9,1.0,42500.0,46.3,40.9,2.3,7.5,22.8,1274.0,354709.04,Riverside
Whitethorn,95589,170,5,44,1124,39,0,0,6,0,1388,11,0.79,39861.0,3.8,93.1,0.0,3.1,24.5,1419.0,367594.11,Humboldt
Whittier,90601,1531,1230,5384,129396,4389,27,65,1107,0,143129,2364,1.6983333333333335,84244.5,72.23333333333333,18.966666666666665,4.916666666666667,0.8333333333333334,23.766666666666666,32201.166666666668,738764.2483333334,Los Angeles
Wildomar,92595,910,228,1327,24113,907,2,8,210,0,27705,440,1.59,83799.0,38.5,44.9,6.0,2.7,17.4,34611.0,597896.42,Riverside
Williams,95987,309,8,418,4651,98,1,0,12,0,5497,21,0.38,77545.0,76.8,21.2,0.9,0.1,14.3,6370.0,355204.8,Colusa
Willits,95490,956,35,584,11018,391,0,1,62,0,13047,97,0.74,53725.0,22.3,68.5,1.9,0.7,23.0,14256.0,329675.53,Mendocino
Willow Creek,95573,194,7,71,1344,52,0,0,13,0,1681,20,1.19,82614.0,4.0,79.8,0.0,0.3,27.1,1342.0,308675.64,Humboldt
Willows,95988,531,8,662,6407,130,0,0,23,0,7761,31,0.4,57538.0,29.0,60.5,6.2,0.5,17.1,8483.0,299583.22,Glenn
Wilmington,90744,288,90,1725,33614,761,8,19,100,0,36605,198,0.54,55141.0,88.8,3.7,3.4,2.8,8.2,57030.0,616234.49,Los Angeles
Wilton,95693,657,79,359,5513,265,0,0,49,0,6922,128,1.85,116741.0,29.5,61.2,6.3,0.5,30.5,7247.0,848987.22,Sacramento
Winchester,92596,723,421,977,20274,1078,0,0,290,0,23763,711,2.99,106957.0,36.9,40.8,8.2,6.3,30.2,35294.0,629779.02,Riverside
Windsor,95492,924,314,1022,19475,974,0,0,301,0,23010,615,2.67,125349.0,30.0,61.0,2.9,0.9,33.8,28635.0,766914.99,Sonoma
Winnetka,91306,330,410,1032,30930,1555,14,5,277,0,34553,701,2.03,77597.0,48.9,24.5,18.4,3.4,29.6,49260.0,770719.52,Los Angeles
Winterhaven,92283,21,0,78,817,10,0,0,0,0,926,0,0.0,26685.0,24.2,25.7,0.5,0.8,8.6,1918.0,829839.3374800868,Imperial
Winters,95694,511,75,536,7339,323,0,1,71,0,8856,146,1.65,87371.0,49.6,47.3,1.7,0.6,25.7,9858.0,577406.55,Yolo
Winton,95388,288,14,573,9294,169,0,1,28,0,10367,42,0.41,51699.0,74.2,19.3,3.6,1.6,6.7,13270.0,320399.99,Merced
Wofford Heights,93285,92,4,119,1797,52,0,0,5,0,2069,9,0.44,30556.0,6.4,92.4,0.0,0.0,9.8,2087.0,228100.79,Kern
Woodacre,94973,40,47,36,998,121,0,0,33,0,1275,80,6.28,125579.0,1.4,86.0,0.0,0.0,59.6,1344.0,1004789.1,Marin
Woodbridge,95258,126,28,212,3302,118,0,0,16,0,3802,44,1.16,117614.0,22.2,71.2,1.0,0.9,28.2,4108.0,550534.94,San Joaquin
Woodlake,93286,330,8,438,6421,87,0,0,18,0,7302,26,0.36,41127.0,79.1,18.2,1.0,0.3,11.8,10500.0,275650.5,Tulare
Woodland,95776,1804,388,2995,44061,1836,6,5,305,0,51400,699,1.415,82183.5,47.5,36.7,9.5,1.6500000000000001,29.0,32854.5,527109.585,Yolo
Woodland Hills,91364,569,1922,1106,45212,3490,51,5,974,0,53329,2947,5.65,107623.0,13.95,63.05,10.95,6.7,55.150000000000006,36597.5,1132647.055,Los Angeles
Wrightwood,92397,199,35,183,3876,151,0,0,38,0,4482,73,1.63,66591.0,17.3,76.3,3.5,0.0,36.2,5215.0,433054.8,San Bernardino
Yermo,92398,32,2,66,929,13,0,0,3,0,1045,5,0.48,52259.0,19.2,69.7,9.1,0.0,5.5,1424.0,164729.14,San Bernardino
Yorba Linda,92886,1192,2088,2035,49911,2507,60,33,1271,0,59097,3419,5.76,138305.5,17.950000000000003,55.0,21.299999999999997,1.25,54.4,35579.5,1198890.31,Orange
Yosemite National Park,95389,25,2,19,714,20,0,0,3,0,783,5,0.64,38325.0,19.2,71.0,2.2,6.5,29.5,1380.0,707996.86,Mariposa
Yountville,94599,56,50,97,1909,129,0,1,25,0,2267,75,3.31,69769.0,21.8,68.2,3.6,3.2,32.2,3421.0,1354312.41,Napa
Yreka,96097,775,11,550,7952,107,0,1,9,0,9405,20,0.21,47042.0,15.2,71.7,0.8,2.1,20.4,10169.0,254687.74,Siskiyou
Yuba City,95993,2552,335,3407,52241,1580,0,7,181,0,60303,516,0.855,68466.5,30.950000000000003,43.0,17.799999999999997,1.9,21.1,40510.5,414075.20499999996,Sutter
